Friendly Name,Designator,Quantity,Example Part
120pF Trimmer Capacitor JML06,C1,1,https://www.aliexpress.com/item/32834642388.html
100pF 50V Ceramic Capacitor Radial,C2,1,https://www.aliexpress.com/item/32971478818.html
0.33uF 50V MLCC Radial,C3,1,https://www.aliexpress.com/item/32973259342.html
0.1uF 50V MLCC Radial,C4,1,https://www.aliexpress.com/item/32973259342.html
10uF 16V Electrolytic Capacitor Radial,"C5,C6",2,https://www.aliexpress.com/item/4000031065489.html
1N4148 Diode DO-35 Axial,"D1,D2",2,https://www.aliexpress.com/item/4000142272546.html
2N2222 NPN Transistor TO-92,"Q1,Q2,Q3",3,https://www.aliexpress.com/item/4000263708421.html
330ohm Resistor 1/4W Axial,"R1,R2,R3,R4",4,https://www.aliexpress.com/item/32952657927.html
180ohm Resistor 1/4W Axial,"R5,R6,R7",3,https://www.aliexpress.com/item/32952657927.html
3.3Kohm Resistor 1/4W Axial,"R8,R9",2,https://www.aliexpress.com/item/32952657927.html
470ohm Resistor 1/4W Axial,R10,1,https://www.aliexpress.com/item/32952657927.html
5.6Kohm Resistor 1/4W Axial,R11,1,https://www.aliexpress.com/item/32952657927.html
12Kohm Resistor 1/4W Axial,R12,1,https://www.aliexpress.com/item/32952657927.html
10Kohm Resistor 1/4W Axial,R13,1,https://www.aliexpress.com/item/32952657927.html
Recessed S-Video Female Connector,S-VIDEO,1,https://www.aliexpress.com/item/1005004227627794.html (OPTION E)
78L05 5V Regulator TO-92,U1,1,https://www.aliexpress.com/item/1005003170640819.html
PJ-306 PCB mount female 3.5mm audio connector,(OPT)AUDIO,1,https://www.aliexpress.com/item/1005002544624280.html (NO.10)
500ohm 3296W Trimpot,"(OPT)RV1,(OPT)RV2",2,https://www.aliexpress.com/item/32918620213.html
Momentary push button switch right angle 6x6x9mm,(OPT)SWITCH,1,https://www.aliexpress.com/item/32912894177.html
Male Pin Header 2.54mmx4,"1_2_3_4,5_6_7_8",2,https://www.aliexpress.com/item/32670970932.html
Male Pin Header 2.54mmx2,"COMPOSITE_ENABLE,EXTRESET,EXT_L/C",3,https://www.aliexpress.com/item/32670970932.html
Male Pin Header 2.54mm,"EXROM,GND1,GND2,GND3,GND4,GND5,GND6,RESET,RIGHT",9,https://www.aliexpress.com/item/32670970932.html
(A 40pin single row of headers is more than enough),,,
